com.samsung.shealth.sleep,6306007,11
total_sleep_time_weight,original_efficiency,mental_recovery,wake_score,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,deep_score,integrated_id,latency_weight,has_sleep_data,bedtime_detection_delay,sleep_efficiency_with_latency,wakeup_time_detection_delay,total_rem_duration,combined_id,nap_score,sleep_type,sleep_latency,data_version,latency_score,deep_weight,rem_weight,physical_recovery,original_wake_up_time,movement_awakening,is_integrated,original_bed_time,goal_bed_time,quality,extra_data,wake_weight,rem_score,goal_wake_up_time,sleep_cycle,total_light_duration,efficiency,sleep_score,sleep_duration,stage_analyzed_type,total_sleep_time_score,com.samsung.health.sleep.create_sh_ver,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.modify_sh_ver,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.client_data_id,com.samsung.health.sleep.client_data_ver,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,95.0,,0,47,1,0,7,372,24,0,0,,,,,0,900000,,660000,112,,,3,840000,9,,,,76.0,,6.0,,,,,,,,,3,206,97.0,72,372,2,,62800471,2024-11-13 22:37:00.000,,62820030,2024-11-14 05:00:24.408,2024-11-14 05:00:16.796,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-14 04:49:00.000,2232be75-f1cf-49d0-b157-90fb0fc52ee5,
,,93.0,,52,97,5,0,13,403,179,0,4,,,,,0,840000,,60000,104,,,3,1020000,9,,,,95.0,2024-11-15 04:59:00.000,7.0,,2024-11-14 22:07:00.000,,,,,,,4,189,96.0,94,403,2,,62800471,2024-11-14 22:07:00.000,,62820030,2024-11-15 05:01:07.919,2024-11-15 05:00:59.408,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-15 04:50:00.000,afd41236-e9fb-4e80-adf8-569825d72d54,
,,98.0,,86,86,19,1,32,534,400,0,22,,,,,0,960000,,1740000,178,,,3,1620000,9,,,,96.0,,15.0,,,,,,,,,4,238,94.0,91,534,2,,62800471,2024-11-15 22:54:00.000,,62820030,2024-11-16 08:17:43.869,2024-11-16 08:17:28.582,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-16 07:48:00.000,1d704f29-19c7-4e2c-8d25-fe67fcfce565,
,,91.0,,53,53,11,1,13,351,348,0,0,,,,,0,1080000,,0,92,,,3,4620000,9,,,,78.0,,7.0,,,,,,,,,3,193,96.0,85,351,2,,62800471,2024-11-16 22:45:00.000,,62820030,2024-11-17 04:36:44.979,2024-11-17 04:36:36.081,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-17 04:36:00.000,59f95bb2-2194-4348-8ce5-07f9e9d08c16,
,,93.0,,95,95,18,0,30,454,414,0,5,,,,,0,900000,,1020000,112,,,3,1440000,9,,,,96.0,,12.0,,,,,,,,,3,217,93.0,92,454,2,,62800471,2024-11-17 21:19:00.000,,62820030,2024-11-18 05:11:07.167,2024-11-18 05:10:57.745,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-18 04:53:00.000,5080563c-285b-42ba-938f-1190e0b38337,
,,96.0,,11,83,2,0,29,490,82,0,0,,,,,0,900000,,300000,148,,,3,1620000,9,,,,95.0,,9.0,,,,,,,,,4,230,94.0,94,490,2,,62800471,2024-11-18 20:44:00.000,,62820030,2024-11-19 05:00:08.720,2024-11-19 04:59:20.589,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-19 04:54:00.000,cbc39991-39ee-4cc7-a75e-428dcb90ae07,
,,85.0,,46,46,9,0,15,360,282,0,0,,,,,0,840000,,300000,74,,,3,1800000,9,,,,74.0,2024-11-20 05:00:00.000,7.0,,2024-11-19 22:51:00.000,,,,,,,3,225,95.0,76,360,2,,62800471,2024-11-19 22:51:00.000,,62820030,2024-11-20 05:05:57.256,2024-11-20 05:05:48.617,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-20 04:51:30.000,e61bc839-0ba3-4ebb-8cd5-a68869a7643c,
,,78.0,,7,7,3,0,6,100,90,0,0,,,,,0,840000,,1620000,30,86cf6646-467f-4896-8d35-73767e68ba0d,,3,900000,9,,,,11.0,,10.0,,,,,,,,,1,57,94.0,54,100,2,,62800471,2024-11-20 20:44:00.000,,62820030,2024-11-21 04:55:13.501,2024-11-20 22:51:35.830,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-20 22:24:00.000,534cf14f-8330-41b5-bd61-c6837f717812,
,,25.0,,0,24,1,0,1,80,27,0,0,,,,,0,780000,,1500000,8,86cf6646-467f-4896-8d35-73767e68ba0d,,3,1500000,9,,,,18.0,,7.0,,,,,,,,,1,47,98.0,47,80,2,,62800471,2024-11-20 23:03:00.000,,62820030,2024-11-21 04:55:13.516,2024-11-21 00:48:49.591,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-21 00:23:00.000,95577b52-1189-430c-8344-320bf37b8393,
,,87.0,,43,43,13,1,15,239,216,0,4,,,,,0,900000,,900000,68,86cf6646-467f-4896-8d35-73767e68ba0d,,3,480000,9,,,,54.0,,14.0,,,,,,,,,2,113,93.0,65,239,2,,62800471,2024-11-21 00:41:00.000,,62820030,2024-11-21 04:55:13.531,2024-11-21 04:55:07.891,,,UTC+0300,KCkzhBg4bx,,com.sec.android.app.shealth,2024-11-21 04:40:00.000,6a51db8b-8ae0-4ebb-8a5d-082d6140019c,
